3pbl_ETQ_0001,-776.243,-9.415,1.037
3pbl_ETQ_0002,-788.210,-12.375,0.351
3pbl_ETQ_0003,-788.796,-11.115,0.353
3pbl_ETQ_0004,-797.116,-11.255,0.248
3pbl_ETQ_0005,-784.025,-12.113,0.385
3pbl_ETQ_0001,-781.583,-9.725,1.028
3pbl_ETQ_0002,-788.750,-11.454,0.213
3pbl_ETQ_0003,-792.500,-11.864,0.352
3pbl_ETQ_0004,-793.366,-11.921,0.326
3pbl_ETQ_0005,-780.806,-11.580,0.363
3pbl_ETQ_0006,-782.753,-11.422,0.389
3pbl_ETQ_0007,-786.706,-11.703,0.384
3pbl_ETQ_0008,-786.456,-10.983,0.295
3pbl_ETQ_0009,-783.176,-11.351,0.289
3pbl_ETQ_0010,-780.244,-11.625,0.364
3pbl_ETQ_0011,-786.546,-11.707,0.298
3pbl_ETQ_0012,-787.276,-11.632,0.510
3pbl_ETQ_0013,-780.237,-11.190,0.291
3pbl_ETQ_0014,-785.128,-11.406,0.330
3pbl_ETQ_0015,-787.293,-11.424,0.269
3pbl_ETQ_0016,-784.796,-10.658,0.408
3pbl_ETQ_0017,-789.990,-11.377,0.341
3pbl_ETQ_0018,-781.681,-11.328,0.362
3pbl_ETQ_0019,-789.106,-11.468,0.322
3pbl_ETQ_0020,-796.751,-11.538,0.316
3pbl_ETQ_0021,-785.848,-11.669,0.362
3pbl_ETQ_0022,-786.367,-11.883,0.315
3pbl_ETQ_0023,-762.758,-9.218,2.072
3pbl_ETQ_0024,-788.508,-11.503,0.283
3pbl_ETQ_0025,-782.874,-12.000,0.265
3pbl_ETQ_0026,-785.891,-12.349,0.333
3pbl_ETQ_0027,-783.844,-9.216,0.997
3pbl_ETQ_0028,-786.761,-11.504,0.260
3pbl_ETQ_0029,-786.561,-11.267,0.371
3pbl_ETQ_0030,-793.958,-11.843,0.279
3pbl_ETQ_0031,-795.161,-11.334,0.323
3pbl_ETQ_0032,-782.710,-11.572,0.347
3pbl_ETQ_0033,-792.387,-11.684,0.363
3pbl_ETQ_0034,-782.683,-11.666,0.404
3pbl_ETQ_0035,-791.208,-11.842,0.355
3pbl_ETQ_0036,-791.363,-11.807,0.341
3pbl_ETQ_0037,-782.567,-11.778,0.255
3pbl_ETQ_0038,-784.030,-10.605,0.321
3pbl_ETQ_0039,-785.153,-12.040,0.374
3pbl_ETQ_0040,-789.866,-11.561,0.303
3pbl_ETQ_0041,-785.243,-11.938,0.297
3pbl_ETQ_0042,-783.291,-12.220,0.426
3pbl_ETQ_0043,-788.949,-11.592,0.300
3pbl_ETQ_0044,-789.638,-11.667,0.334
3pbl_ETQ_0045,-788.170,-12.008,0.344
3pbl_ETQ_0046,-791.719,-11.104,0.327
3pbl_ETQ_0047,-773.048,-7.315,3.872
3pbl_ETQ_0048,-793.513,-11.463,0.341
3pbl_ETQ_0049,-783.613,-11.737,0.311
3pbl_ETQ_0050,-788.762,-11.883,0.292
3pbl_ETQ_0051,-767.481,-9.430,3.130
3pbl_ETQ_0052,-782.058,-11.529,0.323
3pbl_ETQ_0053,-765.377,-8.447,2.018
3pbl_ETQ_0054,-784.260,-11.720,0.373
3pbl_ETQ_0055,-787.421,-12.330,0.403
3pbl_ETQ_0056,-786.460,-12.437,0.395
3pbl_ETQ_0057,-790.245,-11.546,0.275
3pbl_ETQ_0058,-786.230,-11.309,0.251
3pbl_ETQ_0059,-785.609,-11.759,0.284
3pbl_ETQ_0060,-795.316,-11.055,0.332
3pbl_ETQ_0061,-782.878,-11.643,0.504
3pbl_ETQ_0062,-787.739,-11.474,0.380
3pbl_ETQ_0063,-791.769,-11.860,0.321
3pbl_ETQ_0064,-759.210,-6.251,2.534
3pbl_ETQ_0065,-796.267,-11.552,0.300
3pbl_ETQ_0066,-783.704,-11.778,0.357
3pbl_ETQ_0067,-786.059,-10.438,0.334
3pbl_ETQ_0068,-786.223,-11.941,0.437
3pbl_ETQ_0069,-789.822,-11.655,0.264
3pbl_ETQ_0070,-780.589,-10.998,0.345
3pbl_ETQ_0071,-752.554,-7.095,2.410
3pbl_ETQ_0072,-785.063,-12.220,0.389
3pbl_ETQ_0073,-789.783,-11.703,0.347
3pbl_ETQ_0074,-762.118,-7.182,2.253
3pbl_ETQ_0075,-790.866,-11.422,0.319
3pbl_ETQ_0076,-789.623,-11.476,0.322
3pbl_ETQ_0077,-783.818,-11.800,0.347
3pbl_ETQ_0078,-777.356,-11.203,0.306
3pbl_ETQ_0079,-782.071,-11.787,0.342
3pbl_ETQ_0080,-781.939,-11.639,0.314
3pbl_ETQ_0081,-780.083,-10.594,0.375
3pbl_ETQ_0082,-760.912,-6.251,2.536
3pbl_ETQ_0083,-775.128,-10.764,0.291
3pbl_ETQ_0084,-781.670,-11.347,0.327
3pbl_ETQ_0085,-769.041,-8.482,2.040
3pbl_ETQ_0086,-789.257,-11.620,0.306
3pbl_ETQ_0087,-791.359,-11.477,0.392
3pbl_ETQ_0088,-781.624,-11.385,0.354
3pbl_ETQ_0089,-792.246,-11.733,0.373
3pbl_ETQ_0090,-768.785,-9.005,2.033
3pbl_ETQ_0091,-785.106,-11.995,0.377
3pbl_ETQ_0092,-757.153,-7.217,2.345
3pbl_ETQ_0093,-784.077,-12.311,0.447
3pbl_ETQ_0094,-763.375,-7.856,6.483
3pbl_ETQ_0095,-783.228,-11.861,0.354
3pbl_ETQ_0096,-782.254,-11.266,0.368
3pbl_ETQ_0097,-789.852,-11.937,0.306
3pbl_ETQ_0098,-790.416,-11.314,0.268
3pbl_ETQ_0099,-789.040,-11.977,0.311
3pbl_ETQ_0100,-787.654,-11.709,0.266
3pbl_ETQ_0101,-782.984,-11.689,0.325
3pbl_ETQ_0102,-789.468,-11.642,0.345
3pbl_ETQ_0103,-784.779,-12.052,0.337
3pbl_ETQ_0104,-786.863,-11.351,0.252
3pbl_ETQ_0105,-786.373,-11.779,0.303
3pbl_ETQ_0106,-791.539,-11.918,0.300
3pbl_ETQ_0107,-782.591,-11.868,0.324
3pbl_ETQ_0108,-785.937,-11.992,0.265
3pbl_ETQ_0109,-793.278,-11.770,0.390
3pbl_ETQ_0110,-788.048,-11.392,0.282
3pbl_ETQ_0111,-788.593,-11.473,0.349
3pbl_ETQ_0112,-786.103,-11.664,0.354
3pbl_ETQ_0113,-782.499,-12.290,0.391
3pbl_ETQ_0114,-780.953,-11.481,0.368
3pbl_ETQ_0115,-783.387,-11.887,0.388
3pbl_ETQ_0116,-789.947,-11.601,0.316
3pbl_ETQ_0117,-787.347,-11.272,0.283
3pbl_ETQ_0118,-795.660,-11.641,0.310
3pbl_ETQ_0119,-785.851,-11.691,0.264
3pbl_ETQ_0120,-786.836,-11.197,0.279
3pbl_ETQ_0121,-786.689,-11.367,0.250
3pbl_ETQ_0122,-783.934,-11.682,0.260
3pbl_ETQ_0123,-795.526,-11.125,0.320
3pbl_ETQ_0124,-783.756,-11.562,0.356
3pbl_ETQ_0125,-792.839,-11.446,0.289
3pbl_ETQ_0126,-784.755,-11.859,0.258
3pbl_ETQ_0127,-778.441,-11.057,0.226
3pbl_ETQ_0128,-786.685,-11.497,0.302
3pbl_ETQ_0129,-767.280,-9.687,1.506
3pbl_ETQ_0130,-789.927,-11.014,0.348
3pbl_ETQ_0131,-786.150,-11.341,0.267
3pbl_ETQ_0132,-782.991,-11.193,0.289
3pbl_ETQ_0133,-793.256,-11.161,0.270
3pbl_ETQ_0134,-790.369,-11.692,0.328
3pbl_ETQ_0135,-783.043,-11.894,0.365
3pbl_ETQ_0136,-785.308,-11.648,0.295
3pbl_ETQ_0137,-791.965,-12.045,0.272
3pbl_ETQ_0138,-786.346,-11.756,0.352
3pbl_ETQ_0139,-787.849,-11.123,0.374
3pbl_ETQ_0140,-791.472,-11.825,0.365
3pbl_ETQ_0141,-778.629,-11.265,0.260
3pbl_ETQ_0142,-789.890,-11.712,0.399
3pbl_ETQ_0143,-787.019,-11.721,0.354
3pbl_ETQ_0144,-787.260,-11.485,0.386
3pbl_ETQ_0145,-793.405,-11.136,0.359
3pbl_ETQ_0146,-785.770,-11.598,0.284
3pbl_ETQ_0147,-788.641,-11.350,0.343
3pbl_ETQ_0148,-786.983,-11.706,0.376
3pbl_ETQ_0149,-794.527,-11.571,0.285
3pbl_ETQ_0150,-785.543,-12.163,0.359
3pbl_ETQ_0151,-782.379,-12.152,0.433
3pbl_ETQ_0152,-784.772,-11.503,0.302
3pbl_ETQ_0153,-787.569,-12.093,0.284
3pbl_ETQ_0154,-786.783,-11.414,0.288
3pbl_ETQ_0155,-782.260,-11.482,0.295
3pbl_ETQ_0156,-788.658,-11.719,0.324
3pbl_ETQ_0157,-786.020,-12.121,0.317
3pbl_ETQ_0158,-785.458,-10.728,0.316
3pbl_ETQ_0159,-780.768,-12.182,0.283
3pbl_ETQ_0160,-782.345,-11.929,0.340
3pbl_ETQ_0161,-784.891,-11.671,0.333
3pbl_ETQ_0162,-787.075,-11.600,0.291
3pbl_ETQ_0163,-786.693,-11.353,0.302
3pbl_ETQ_0164,-784.904,-11.945,0.315
3pbl_ETQ_0165,-794.130,-11.516,0.235
3pbl_ETQ_0166,-783.856,-12.142,0.391
3pbl_ETQ_0167,-787.760,-11.447,0.356
3pbl_ETQ_0168,-786.993,-11.521,0.372
3pbl_ETQ_0169,-791.107,-11.897,0.281
3pbl_ETQ_0170,-783.757,-11.867,0.314
3pbl_ETQ_0171,-786.220,-11.869,0.269
3pbl_ETQ_0172,-786.183,-11.194,0.298
3pbl_ETQ_0173,-779.373,-9.536,0.680
3pbl_ETQ_0174,-779.851,-10.703,0.378
3pbl_ETQ_0175,-785.958,-11.246,0.345
3pbl_ETQ_0176,-789.964,-8.539,0.788
3pbl_ETQ_0177,-784.567,-11.623,0.254
3pbl_ETQ_0178,-780.924,-11.701,0.311
3pbl_ETQ_0179,-782.527,-11.661,0.338
3pbl_ETQ_0180,-788.765,-12.158,0.288
3pbl_ETQ_0181,-794.079,-11.542,0.388
3pbl_ETQ_0182,-795.168,-11.781,0.316
3pbl_ETQ_0183,-779.915,-11.439,0.351
3pbl_ETQ_0184,-784.674,-11.597,0.348
3pbl_ETQ_0185,-788.494,-11.151,0.225
3pbl_ETQ_0186,-783.034,-11.890,0.298
3pbl_ETQ_0187,-759.263,-6.055,6.528
3pbl_ETQ_0188,-797.806,-11.252,0.255
3pbl_ETQ_0189,-790.609,-11.884,0.318
3pbl_ETQ_0190,-787.230,-12.078,0.284
3pbl_ETQ_0191,-781.440,-10.958,0.422
3pbl_ETQ_0192,-785.163,-11.857,0.353
3pbl_ETQ_0193,-783.130,-12.046,0.335
3pbl_ETQ_0194,-788.287,-11.994,0.349
3pbl_ETQ_0195,-788.417,-11.699,0.345
3pbl_ETQ_0196,-779.360,-11.530,0.273
3pbl_ETQ_0197,-782.755,-10.658,0.234
3pbl_ETQ_0198,-792.115,-11.420,0.332
3pbl_ETQ_0199,-793.278,-11.777,0.309
3pbl_ETQ_0200,-758.126,-8.300,6.802
